optimgain,Fce,entloss,TimestepsSoFar,TtR,entropy,AttC,meankl,MtR,AttNC,surrgain,EpisodesSoFar,TimeElapsed
0.0019110178,0.15978231292517003,0.0,959897,117.35714285714286,0.59973305,0.8333333333333334,0.003912239,22.0998003471167,2.1666666666666665,0.0019110178,4156,3957.6806104183197
0.0025458254,0.1619047619047619,0.0,969905,121.42857142857143,0.6193233,0.7857142857142857,0.0054775625,23.07075821060781,2.2142857142857144,0.0025458254,4198,3999.1180217266083
0.0022236954,0.15789999999999998,0.0,979905,118.425,0.6082973,0.775,0.0037899164,22.146826995896767,2.225,0.0022236954,4238,4039.289038181305
0.0024920034,0.1578,0.0,989905,118.35,0.5852732,0.75,0.004927884,22.136496899449845,2.25,0.0024920034,4278,4080.030630350113
0.0017380045,0.1595,0.0,999905,119.625,0.6040985,0.6,0.0030155587,22.35806698678429,2.4,0.0017380045,4318,4121.199083328247
0.0010350639,0.15802844774273345,0.0,1009951,115.21428571428571,0.5819687,0.8333333333333334,0.003108552,21.65152021399886,2.1666666666666665,0.0010350639,4360,4162.416755914688
0.002508176,0.1601820667754598,0.0,1019801,116.63414634146342,0.55303943,0.7804878048780488,0.0051144087,22.361879401310116,2.2195121951219514,0.002508176,4401,4204.404766082764
0.002888476,0.16672486093281985,0.0,1029858,123.8048780487805,0.52215534,0.6341463414634146,0.0056244875,23.508029170910085,2.3658536585365852,0.002888476,4442,4245.09473490715
0.0017797699,0.16101533494753828,0.0,1039926,119.14285714285714,0.52580994,0.6904761904761905,0.004247141,22.60808106854573,2.3095238095238093,0.0017797699,4484,4286.145445108414
0.0026174288,0.17238733196627934,0.0,1050000,126.14285714285714,0.48129103,0.7857142857142857,0.005376153,23.884681004987684,2.2142857142857144,0.0026174288,4526,4326.64696097374
0.001618518,0.16246976744186045,0.0,1059793,119.325,0.4487235,0.575,0.0043420247,22.347327925727516,2.425,0.001618518,4566,4367.835062742233
0.002465389,0.17859999999999995,0.0,1069793,133.95,0.4557422,0.35,0.0076932213,25.041709915962777,2.65,0.002465389,4606,4409.618782997131
0.0018516149,0.1595,0.0,1079793,119.625,0.47476855,0.55,0.0043049967,22.48346684231279,2.45,0.0018516149,4646,4450.721704006195
0.0021698796,0.16140000000000004,0.0,1089793,121.05,0.4656683,0.4,0.00504768,22.785497221915428,2.6,0.0021698796,4686,4491.743547916412
0.0024881347,0.16540000000000002,0.0,1099793,124.05,0.44284075,0.425,0.004333557,22.971415789641675,2.575,0.0024881347,4726,4532.665380954742
0.0022555236,0.1568,0.0,1109793,117.6,0.44534317,0.35,0.0049228994,21.921061169790253,2.65,0.0022555236,4766,4574.221399784088
0.0019432505,0.16719999999999993,0.0,1119793,125.4,0.45144647,0.475,0.0041107098,23.900484451380276,2.525,0.0019432505,4806,4614.4085149765015
0.0026317916,0.1629,0.0,1129793,122.175,0.39471176,0.525,0.0063916976,23.03180115831129,2.475,0.0026317916,4846,4655.767899274826
0.0014422326,0.16360000000000002,0.0,1139793,122.7,0.39566055,0.5,0.0027886597,22.69272022601406,2.5,0.0014422326,4886,4696.733367919922
0.0011756963,0.16760000000000003,0.0,1149793,125.7,0.41855046,0.5,0.0033485205,23.564393629667734,2.5,0.0011756963,4926,4737.408131361008
0.0026918482,0.15849999999999997,0.0,1159793,118.875,0.38207185,0.425,0.0056220386,22.697931500098957,2.575,0.0026918482,4966,4778.880515098572
0.0021941934,0.15736585365853661,0.0,1169798,118.02439024390245,0.37365708,0.4634146341463415,0.0064231325,22.05566184181147,2.5365853658536586,0.0021941934,5007,4819.387816429138
0.0016414596,0.1741,0.0,1179798,130.575,0.40437877,0.325,0.0062117525,24.59330324724538,2.675,0.0016414596,5047,4861.178296089172
0.0019776332,0.1739,0.0,1189798,130.425,0.39355218,0.375,0.004685318,24.017975096475652,2.625,0.0019776332,5087,4901.819363594055
0.0019043742,0.16609999999999997,0.0,1199798,124.575,0.35787675,0.35,0.0052699167,22.973185727504177,2.65,0.0019043742,5127,4942.969736099243
0.0019713328,0.171,0.0,1209798,128.25,0.3649285,0.325,0.005139169,23.73160045640348,2.675,0.0019713328,5167,4983.5013263225555
0.0019768835,0.17919999999999997,0.0,1219798,134.4,0.30993322,0.325,0.005859134,25.31618815573648,2.675,0.0019768835,5207,5024.039043426514
0.0024766445,0.16729999999999998,0.0,1229798,125.475,0.29497227,0.4,0.0059928237,23.50098317731644,2.6,0.0024766445,5247,5064.277644634247
0.0015648067,0.17010933557611438,0.0,1239827,127.02439024390245,0.29690832,0.3902439024390244,0.006007475,23.832438787466973,2.6097560975609757,0.0015648067,5288,5105.068713188171
0.0018505759,0.16750000000000004,0.0,1249827,125.625,0.30954993,0.3,0.006059557,23.527725952702884,2.7,0.0018505759,5328,5147.253529787064
0.001675644,0.176,0.0,1259827,132.0,0.26147464,0.275,0.005560964,24.425097204768303,2.725,0.001675644,5368,5187.859644412994
