Tbt,EpisodesSoFar,surrgain,TimestepsSoFar,meankl,TimeElapsed,AttC,Ptt,entloss,TtR,entropy,Tmc,MpbtN,MpbtA,Tmt,AttNC,optimgain,MtR
344791.4183551847,839,0.022891374,9999,0.008836027,2074.697898387909,1.0,81.849074968709,0.0,-80.09415971394517,0.68437713,19.69129916567342,95.15479354014082,4.845206459858801,84.17759237187127,0.0,0.022891374,-75.89268988823159
345924.78670360113,1561,0.013424783,19996,0.009698454,3891.0845828056335,1.0,82.12709645942057,0.0,-80.3961218836565,0.6568576,19.38781163434903,95.19803378866122,4.801966211338365,84.45429362880887,0.0,0.013424783,-75.48689988275349
345239.7037037037,2209,0.01698873,29994,0.010057715,5540.155725479126,1.0,81.96015087563916,0.0,-80.37037037037037,0.61061436,19.569444444444443,95.35799801798413,4.6420019820155805,84.28703703703704,0.0,0.01698873,-74.89507648728322
345768.0,2721,0.021331763,39996,0.010057805,6842.9264793396,1.0,82.08559550041605,0.0,-80.568359375,0.5465083,19.43359375,95.44649197904609,4.5535080209537755,84.416015625,0.0,0.021331763,-73.73012250347189
346072.5068870523,3084,0.024695203,49944,0.0099038435,7771.204295873642,1.0,82.1604481767988,0.0,-80.46280991735537,0.45965204,19.352617079889807,95.24082011366554,4.759179886334474,84.49035812672176,0.0,0.024695203,-71.44738569486172
343953.89247311826,3270,0.0166885,59966,0.00884666,8261.032212257385,0.9838709677419355,81.66199089611786,0.0,-78.81182795698925,0.36058706,19.892473118279568,93.84577517863582,6.1542248213641875,83.97311827956989,0.016129032258064516,0.0166885,-64.70906009348721
344536.6153846154,3374,0.017155768,69969,0.0081679085,8548.860925674438,0.9423076923076923,81.79492395097276,0.0,-76.5673076923077,0.28866422,19.75,90.97600874946163,9.023991250538334,84.11538461538461,0.057692307692307696,0.017155768,-56.31347897727514
343092.0677966102,3433,0.009952472,79995,0.008057322,8724.758609294891,0.864406779661017,81.44352625796245,0.0,-73.7457627118644,0.22965617,20.135593220338983,88.0089865316258,11.991013468374213,83.76271186440678,0.13559322033898305,0.009952472,-45.95088622670102
340680.347826087,3479,0.0072572143,89920,0.010335321,8877.14784026146,0.7608695652173914,80.90083425205117,0.0,-72.97826086956522,0.16686697,20.717391304347824,87.74842563187698,12.25157436812303,83.17391304347827,0.2391304347826087,0.0072572143,-41.15143985448755
342698.6666666667,3515,0.0047894134,99954,0.0025338253,9002.640860795975,0.1388888888888889,81.35981032347146,0.0,-76.36111111111111,0.1944179,20.22222222222222,91.24423105891944,8.755768941080527,83.66666666666667,0.8611111111111112,0.0047894134,-41.12326835453818
340878.22222222225,3551,0.0032129851,109945,0.002705459,9125.447489976883,0.1388888888888889,80.94689760516178,0.0,-73.97222222222223,0.21599932,20.666666666666668,88.85818280675944,11.141817193240563,83.22222222222223,0.8611111111111112,0.0032129851,-40.43717971232213
338243.36842105264,3589,0.002840663,119756,0.0047650016,9266.648624658585,0.5263157894736842,80.32427885553129,0.0,-72.65789473684211,0.1695324,21.342105263157894,87.978118336445,12.021881663555021,82.57894736842105,0.47368421052631576,0.002840663,-40.558238829389346
