Tbt,AttC,TimeElapsed,MtR,MpbtA,entloss,meankl,entropy,surrgain,TimestepsSoFar,TtR,Ptt,AttNC,EpisodesSoFar,optimgain,MpbtN,Tmc,Tmt
329323.1284271284,3.0,1608.1735796928406,-71.3163027674619,5.161157676305894,0.0,0.009018963,0.684198,0.009036933,9993,-228.6969696969697,78.24041639558509,0.0,693,0.009036933,94.8388423236941,23.594516594516595,80.4011544011544
330790.4436860068,3.0,2990.01984000206,-69.87057280035843,6.3122197731881995,0.0,0.010111519,0.656035,0.005226886,19984,-226.919795221843,78.57879220119298,0.0,1279,0.005226886,93.68778022681177,23.230375426621162,80.75938566552901
332200.5853658537,3.0,4109.204142332077,-68.54660819080027,7.056822409474511,0.0,0.010463631,0.61066544,0.008697426,29986,-226.09146341463415,78.89315827811919,0.0,1771,0.008697426,92.94317759052545,22.89430894308943,81.10365853658537
333310.58953168045,3.0,4923.236901044846,-65.31837822193232,8.796390265023168,0.0,0.008917168,0.5617034,0.0070227236,39989,-222.5785123966942,79.158971563811,0.0,2134,0.0070227236,91.20360973497688,22.606060606060606,81.37465564738292
332885.3333333333,3.0,5471.16549706459,-60.15680574478346,10.938836660373097,0.0,0.009308042,0.5071138,0.009515061,49979,-217.075,79.06292952171852,0.0,2374,0.009515061,89.06116333962697,22.708333333333332,81.27083333333333
333740.7479674797,2.983739837398374,5751.757748365402,-49.872196020049806,16.7406646518285,0.0,0.0087517155,0.45679453,0.008524909,59902,-203.5121951219512,79.25531897737335,0.016260162601626018,2497,0.008524909,83.2593353481715,22.504065040650406,81.47967479674797
328070.09523809527,2.7301587301587302,5905.923602581024,-37.82317027070843,25.352260342229908,0.0,0.006628198,0.3968894,0.0038617265,69967,-179.57142857142858,77.96740920165651,0.2698412698412698,2560,0.0038617265,74.64773965777009,23.88888888888889,80.0952380952381
321585.9512195122,1.5365853658536586,6017.894912004471,-30.463798469528566,32.67624872126432,0.0,0.006489333,0.41712067,0.0036628458,79795,-158.70731707317074,76.481731698647,1.4634146341463414,2601,0.0036628458,67.32375127873564,25.48780487804878,78.51219512195122
328362.6666666667,2.6666666666666665,6150.072519302368,-33.77259890562076,29.859534433904738,0.0,0.006149877,0.39593706,0.0042591584,89978,-168.94444444444446,78.02295885505498,0.3333333333333333,2655,0.0042591584,70.14046556609527,23.833333333333332,80.16666666666667
322901.3333333333,1.2857142857142858,6265.776640415192,-30.11694131127203,34.71967051120099,0.0,0.0025329457,0.35722715,0.0013533641,99941,-154.5,76.76585436192961,1.7142857142857142,2697,0.0013533641,65.28032948879901,25.19047619047619,78.83333333333333
323779.04761904763,1.5952380952380953,6382.429692029953,-30.265864734938162,33.704322984912906,0.0,0.0054923696,0.39507285,0.0025421868,109814,-157.28571428571428,76.98063461760655,1.4047619047619047,2739,0.0025421868,66.2956770150871,24.952380952380953,79.04761904761905
