Fce,surrgain,EpisodesSoFar,AttNC,entropy,MtR,TimeElapsed,AttC,meankl,TtR,optimgain,entloss,TimestepsSoFar
0.14079999999999998,0.0035435772,6577,1.0,0.04386724,19.819958956222287,4340.892231225967,0.0,0.0056670913,35.2,0.0035435772,0.0,1379878
0.14224390243902443,0.0057996064,6618,0.975609756097561,0.06383524,19.953744160047833,4371.820816040039,0.024390243902439025,0.0067396187,35.5609756097561,0.0057996064,0.0,1389879
0.1385365853658537,0.0031849807,6659,0.975609756097561,0.06900655,19.526184513616645,4402.780933380127,0.024390243902439025,0.0058247396,34.63414634146341,0.0031849807,0.0,1399880
0.1431219512195122,0.0033914552,6700,0.975609756097561,0.043552406,20.52891378056087,4434.028789997101,0.024390243902439025,0.0060826605,35.78048780487805,0.0033914552,0.0,1409881
0.13979999999999998,0.004733562,6740,1.0,0.09509181,19.95235241192066,4464.483980894089,0.0,0.007110818,34.95,0.004733562,0.0,1419881
0.13687804878048784,0.005116873,6781,0.975609756097561,0.10253882,19.260976881080712,4497.254248857498,0.024390243902439025,0.0069003166,34.21951219512195,0.005116873,0.0,1429882
0.14100000000000004,0.0034250724,6821,1.0,0.12209396,20.176636610007364,4527.771469116211,0.0,0.005456357,35.25,0.0034250724,0.0,1439882
0.13695238095238096,0.0039493963,6863,0.9523809523809523,0.12681104,19.52005867376217,4559.037893533707,0.047619047619047616,0.0049211653,34.23809523809524,0.0039493963,0.0,1449884
0.14185365853658535,0.00318826,6904,0.975609756097561,0.11659243,19.882006904308113,4591.540829181671,0.024390243902439025,0.004044178,35.46341463414634,0.00318826,0.0,1459885
0.14490000000000003,0.0029901962,6944,1.0,0.08795526,20.40632795328207,4623.172368526459,0.0,0.0056158206,36.225,0.0029901962,0.0,1469885
0.1400975609756098,0.0035995727,6985,0.975609756097561,0.07263318,19.771160981959486,4655.489356994629,0.024390243902439025,0.0057286215,35.02439024390244,0.0035995727,0.0,1479886
0.1476,0.0038039077,7025,1.0,0.058982458,21.00221579193161,4686.20286655426,0.0,0.0057805404,36.9,0.0038039077,0.0,1489886
0.1454,0.0025729088,7065,1.0,0.04724315,20.58642925290443,4718.2317070961,0.0,0.0043964586,36.35,0.0025729088,0.0,1499886
0.14439024390243904,0.003968798,7106,0.975609756097561,0.06683467,20.511820855433584,4749.795623540878,0.024390243902439025,0.006097753,36.09756097560975,0.003968798,0.0,1509887
0.14407518796992483,0.0032199165,7148,0.9523809523809523,0.083588526,20.001676981793224,4781.95232462883,0.047619047619047616,0.004301414,34.57142857142857,0.0032199165,0.0,1519907
0.14650000000000002,0.0029290142,7188,1.0,0.10316461,20.756459570014716,4814.578733444214,0.0,0.0054424093,36.625,0.0029290142,0.0,1529907
0.14057142857142862,0.003235836,7230,0.9523809523809523,0.08500786,19.860643287425646,4844.7643785476685,0.047619047619047616,0.006711722,35.142857142857146,0.003235836,0.0,1539909
