EpisodesSoFar,MtR,meankl,TimeElapsed,AttNC,Fce,TimestepsSoFar,entloss,surrgain,optimgain,AttC,entropy,TtR
45,22.085429980228888,0.007177836,102.73066067695618,2.6666666666666665,0.16867127260441342,9886,0.0,0.00019812271,0.00019812271,7.333333333333333,1.4218615,382.6666666666667
94,28.245778397310925,0.0005503382,201.7480185031891,2.7551020408163267,0.21156028547285752,19852,0.0,0.00091856904,0.00091856904,7.244897959183674,1.4185678,473.46938775510205
142,26.64700546064341,0.00406414,309.1925051212311,2.7916666666666665,0.19748836795814148,29974,0.0,0.00093197264,0.00093197264,7.208333333333333,1.4132619,448.3333333333333
197,27.82509121183261,0.0030944122,406.28672456741333,2.6545454545454548,0.22387963775640887,39931,0.0,0.0028900371,0.0028900371,7.345454545454546,1.4039304,462.54545454545456
247,35.18792977555043,0.0020101948,508.094003200531,3.52,0.26722426254879644,49799,0.0,0.0021472839,0.0021472839,6.48,1.3907506,590.8
300,27.744384644537316,0.0057765357,606.7141263484955,2.8867924528301887,0.22191397624588258,59803,0.0,0.00056908996,0.00056908996,7.113207547169812,1.3945744,465.47169811320754
343,28.377432943824626,0.0066162776,711.74369597435,3.5348837209302326,0.20126592517694647,69836,0.0,0.003587769,0.003587769,6.465116279069767,1.408558,484.8837209302326
385,25.38230787994444,0.008280176,812.6485378742218,3.761904761904762,0.1780617232230135,79940,0.0,0.002896803,0.002896803,6.238095238095238,1.4141157,431.1904761904762
425,22.519693164016388,0.009160739,912.4593608379364,4.175,0.1569,89940,0.0,0.002486888,0.002486888,5.825,1.4123994,392.25
465,20.177476329922918,0.002920368,1013.5297408103943,4.275,0.13979999999999998,99940,0.0,0.002525254,0.002525254,5.725,1.4042184,349.5
505,17.032268804009796,0.0029077027,1111.4480593204498,5.025,0.11720000000000004,109940,0.0,0.0019858307,0.0019858307,4.975,1.3891134,293.0
545,14.151124828679958,0.001981156,1207.784279346466,5.525,0.09930000000000007,119940,0.0,0.001070901,0.001070901,4.475,1.3666435,248.25
585,11.872069659328067,0.010378499,1307.340670824051,5.85,0.08530000000000006,129940,0.0,3.437027e-05,3.437027e-05,4.15,1.3491664,213.25
625,12.132599623111135,0.0011980905,1411.2172129154205,5.775,0.08420000000000004,139940,0.0,0.00014602218,0.00014602218,4.225,1.337887,210.5
665,12.528721807771088,0.0054856148,1505.4718358516693,5.5,0.08700000000000005,149940,0.0,0.00033225922,0.00033225922,4.5,1.2849699,217.5
705,10.569567047912786,0.0074110795,1608.0751173496246,6.15,0.07470000000000003,159940,0.0,0.00023353333,0.00023353333,3.85,1.3372916,186.75
745,10.505911669095436,0.007830981,1707.3940386772156,6.025,0.07380000000000003,169940,0.0,0.00011513413,0.00011513413,3.975,1.3851347,184.5
785,12.410255798036118,0.0056548817,1805.0575692653656,5.55,0.08650000000000005,179940,0.0,0.00016842598,0.00016842598,4.45,1.4554453,216.25
825,12.834251904396751,0.00819767,1908.8813321590424,5.325,0.09140000000000005,189940,0.0,0.00018207183,0.00018207183,4.675,1.5154535,228.5
866,13.78405279408524,0.008285856,2006.8113434314728,5.048780487804878,0.09639024390243908,199945,0.0,0.00031349502,0.00031349502,4.951219512195122,1.5607934,240.97560975609755
906,13.65442910210892,0.0068303896,2108.614684343338,5.2,0.09630000000000007,209945,0.0,0.0002869371,0.0002869371,4.8,1.6311796,240.75
946,15.642999718712739,0.007152901,2205.7222464084625,5.1,0.10900000000000006,219945,0.0,0.00021308243,0.00021308243,4.9,1.7174429,272.5
986,16.218132931783554,0.005091432,2311.2489109039307,4.725,0.11450000000000005,229945,0.0,0.00041643073,0.00041643073,5.275,1.7567503,286.25
