EpisodesSoFar,MtR,optimgain,surrgain,AttNC,entloss,Fce,TimeElapsed,TimestepsSoFar,TtR,meankl,AttC,entropy
124,6.782321847622963,0.0013256561,0.0013256561,0.29838709677419356,0.0,0.10378640275217604,36.677754640579224,9857,11.42741935483871,0.0069022956,0.7016129032258065,1.4186403
218,8.901715673022933,0.00035998612,0.00035998612,0.4148936170212766,0.0,0.09813926387893843,72.19398927688599,19836,15.404255319148936,0.002705892,0.5851063829787234,1.3818396
332,7.620892070616469,0.001870308,0.001870308,0.34210526315789475,0.0,0.09281718189444951,107.34469676017761,29971,13.210526315789474,0.007835645,0.6578947368421053,1.3639529
407,10.755939080468925,0.00086588133,0.00086588133,0.52,0.0,0.11147956498495198,143.30727243423462,39875,18.85333333333333,0.0016038704,0.48,1.3663185
473,12.086820121908943,0.0013812783,0.0013812783,0.6060606060606061,0.0,0.09914810442083169,178.01198816299438,49935,20.757575757575758,0.006174331,0.3939393939393939,1.3601537
570,8.833719675219722,0.0017673629,0.0017673629,0.3917525773195876,0.0,0.1058789456554336,211.85381364822388,59844,15.123711340206185,0.0060287416,0.6082474226804123,1.3386277
635,12.146364120577017,0.0010438198,0.0010438198,0.6,0.0,0.10642462054074957,247.81992983818054,69762,20.876923076923077,0.0026244754,0.4,1.3208761
697,13.069393453254982,0.00085120334,0.00085120334,0.6451612903225806,0.0,0.09722549307636562,284.2430245876312,79910,22.774193548387096,0.0063703423,0.3548387096774194,1.2996072
764,11.784778776277319,0.0014360656,0.0014360656,0.5970149253731343,0.0,0.1050177683013504,317.7451002597809,89965,20.791044776119403,0.0037246353,0.40298507462686567,1.2793628
823,12.441624062414895,0.00073959806,0.00073959806,0.6610169491525424,0.0,0.09452160514503921,353.70151829719543,99799,21.728813559322035,0.0036861682,0.3389830508474576,1.3081656
888,12.177378678842802,0.00034478607,0.00034478607,0.6,0.0,0.11573879366219426,389.4184024333954,109759,20.753846153846155,0.0012076457,0.4,1.2868689
957,11.551715998382251,0.0012702285,0.0012702285,0.5797101449275363,0.0,0.10788166050623177,424.97956371307373,119978,20.0,0.007565944,0.42028985507246375,1.2435253
1029,10.852664110107698,0.00083023374,0.00083023374,0.5416666666666666,0.0,0.09531935965269298,461.29281425476074,129837,18.77777777777778,0.0037688462,0.4583333333333333,1.2147825
1087,12.704682910691515,0.00053101045,0.00053101045,0.6896551724137931,0.0,0.11464367816091951,493.34054732322693,139861,22.103448275862068,0.0039209183,0.3103448275862069,1.1644855
1150,11.343501466291965,0.0016124726,0.0016124726,0.6349206349206349,0.0,0.09569786535303776,529.2822210788727,149916,19.73015873015873,0.0065324013,0.36507936507936506,1.0917784
1205,13.48409817020577,0.0024460463,0.0024460463,0.7272727272727273,0.0,0.0958881118881119,562.6277360916138,159949,23.30909090909091,0.011580905,0.2727272727272727,1.1118335
1268,12.805677952417899,0.0014720856,0.0014720856,0.6190476190476191,0.0,0.11514948543519969,596.8140125274658,169841,22.793650793650794,0.0039010728,0.38095238095238093,1.0762326
1322,14.189372956859282,0.0009275192,0.0009275192,0.7222222222222222,0.0,0.13163977972390728,634.0147671699524,179788,24.962962962962962,0.004162143,0.2777777777777778,1.1159621
1386,12.010750813923778,0.0018545075,0.0018545075,0.625,0.0,0.08763942307692309,665.8324444293976,189842,20.859375,0.004637002,0.375,1.0707021
1439,14.665532881515016,0.0012158813,0.0012158813,0.7547169811320755,0.0,0.11034419668381931,700.2674901485443,199889,25.660377358490567,0.0050706454,0.24528301886792453,1.0514753
1501,12.789111238765015,0.0012769309,0.0012769309,0.6451612903225806,0.0,0.09357495256166985,733.7357926368713,209955,22.161290322580644,0.005983026,0.3548387096774194,1.0190005
1555,13.853149334857982,0.0009982251,0.0009982251,0.7407407407407407,0.0,0.09696296296296297,766.4607210159302,219969,24.24074074074074,0.0022000808,0.25925925925925924,0.9986623
1605,15.008694782103818,0.0015651421,0.0015651421,0.8,0.0,0.10544000000000002,803.9591164588928,229989,26.36,0.007472336,0.2,1.0175585
1659,13.890954409977084,0.0018681198,0.0018681198,0.7222222222222222,0.0,0.09614814814814816,837.4835247993469,239758,24.037037037037038,0.006844519,0.2777777777777778,1.0426412
1725,12.159950848014818,0.0012616944,0.0012616944,0.5909090909090909,0.0,0.10635207262597009,870.6681928634644,249923,21.12121212121212,0.0033585296,0.4090909090909091,1.0288709
1782,13.575707107826098,0.0016387787,0.0016387787,0.6842105263157895,0.0,0.10275805583374711,908.0505633354187,259807,23.596491228070175,0.0059590964,0.3157894736842105,0.98203504
1842,13.24652890908614,0.00089796906,0.00089796906,0.65,0.0,0.10408024267657294,941.4760329723358,269796,22.983333333333334,0.0028104575,0.35,1.0069993
1917,10.706221589783178,0.0019711838,0.0019711838,0.52,0.0,0.09317061876318843,973.7257263660431,279784,18.4,0.007030149,0.48,0.94708914
1982,12.591565298443323,0.0020245556,0.0020245556,0.6153846153846154,0.0,0.10550455075069078,1006.5735716819763,289909,21.6,0.0059592156,0.38461538461538464,0.91650563
2044,12.487823511783539,0.001573008,0.001573008,0.6129032258064516,0.0,0.10438776998261945,1039.1720657348633,299803,21.725806451612904,0.004666281,0.3870967741935484,0.8957585
2098,14.868479304024008,0.0021709811,0.0021709811,0.7407407407407407,0.0,0.11213709167856997,1073.7016332149506,309911,26.0,0.0059189703,0.25925925925925924,0.89710134
2155,13.03173759826581,0.0019256672,0.0019256672,0.7017543859649122,0.0,0.11225595389439785,1108.0135850906372,319970,23.05263157894737,0.0048069414,0.2982456140350877,0.8683701
2212,13.890755718947734,0.0011283684,0.0011283684,0.7017543859649122,0.0,0.1258011695906433,1140.4474716186523,329993,24.19298245614035,0.0056380183,0.2982456140350877,0.8568785
2259,15.746511345428027,0.0015967179,0.0015967179,0.851063829787234,0.0,0.10876595744680852,1174.3011887073517,340000,27.19148936170213,0.0060517457,0.14893617021276595,0.8195501
2312,14.322886667716713,0.001106752,0.001106752,0.7358490566037735,0.0,0.13114371237345712,1207.6162185668945,349842,24.49056603773585,0.005670186,0.2641509433962264,0.88033175
2365,14.43401097441886,0.0014770682,0.0014770682,0.7547169811320755,0.0,0.10682808668234822,1239.74853849411,359929,25.735849056603772,0.0074554244,0.24528301886792453,0.8309941
2434,11.370522046625348,0.0025572341,0.0025572341,0.5652173913043478,0.0,0.09678754096145399,1277.2316780090332,369957,19.81159420289855,0.0054415,0.43478260869565216,0.78259265
2490,13.569075991499945,0.0019855057,0.0019855057,0.6964285714285714,0.0,0.11485849056603774,1309.8032755851746,379778,23.803571428571427,0.0064117187,0.30357142857142855,0.72032875
2536,16.65276974433561,0.0022105363,0.0022105363,0.8695652173913043,0.0,0.11660869565217392,1343.345110654831,389788,29.152173913043477,0.0060269902,0.13043478260869565,0.7490622
2589,16.186274530649065,0.0020866257,0.0020866257,0.7547169811320755,0.0,0.11744180898794496,1381.2826619148254,399923,28.09433962264151,0.008320015,0.24528301886792453,0.7013262
2643,15.164413901150484,0.003048703,0.003048703,0.7222222222222222,0.0,0.12068238691449569,1413.4816567897797,409786,26.51851851851852,0.0074811266,0.2777777777777778,0.63507074
2696,15.533039290376498,0.0011230774,0.0011230774,0.7358490566037735,0.0,0.13717208947675638,1447.19455742836,419924,27.056603773584907,0.007653659,0.2641509433962264,0.60971016
2745,16.062863132450133,0.0023489282,0.0023489282,0.8163265306122449,0.0,0.11875733289267125,1480.3178141117096,429975,28.448979591836736,0.009074995,0.1836734693877551,0.6296599
2789,18.037774679462938,0.0013298782,0.0013298782,0.9090909090909091,0.0,0.1274545454545454,1511.0398926734924,439981,31.863636363636363,0.005690688,0.09090909090909091,0.60793245
2836,16.903308607108265,0.000521814,0.000521814,0.851063829787234,0.0,0.11872340425531917,1546.0041184425354,449988,29.680851063829788,0.005065253,0.14893617021276595,0.5761407
2881,16.486302135747053,0.0025566297,0.0025566297,0.8666666666666667,0.0,0.11895413711583927,1577.1435713768005,459790,29.066666666666666,0.0064842585,0.13333333333333333,0.5636987
2927,16.736905901981963,0.0017506165,0.0017506165,0.8695652173913043,0.0,0.13134943639291463,1610.6535408496857,469876,29.41304347826087,0.004205771,0.13043478260869565,0.57858485
2972,17.301128158215537,0.002074373,0.002074373,0.8888888888888888,0.0,0.12204444444444448,1647.0871512889862,479881,30.511111111111113,0.0071033533,0.1111111111111111,0.56231415
3025,16.685713767147025,0.0023755948,0.0023755948,0.6792452830188679,0.0,0.13235937585650923,1677.8071103096008,489998,28.452830188679247,0.0052586035,0.32075471698113206,0.5599062
3076,16.58695325320036,0.0024524506,0.0024524506,0.7058823529411765,0.0,0.12164953630477714,1713.4952878952026,499911,28.784313725490197,0.0077792807,0.29411764705882354,0.5357333
3124,17.053748109414705,0.001911472,0.001911472,0.8333333333333334,0.0,0.12686764705882353,1746.3163669109344,509993,30.291666666666668,0.009908828,0.16666666666666666,0.5272024
3177,15.169473067366113,0.0024994202,0.0024994202,0.7358490566037735,0.0,0.1089533611043045,1777.3498306274414,519787,26.62264150943396,0.007168138,0.2641509433962264,0.48425034
3229,15.672274458360155,0.0028436142,0.0028436142,0.75,0.0,0.13354601965958043,1814.504516363144,529912,27.28846153846154,0.0064550643,0.25,0.42854396
3277,16.5651958794821,0.0020601433,0.0020601433,0.8125,0.0,0.11900146198830408,1845.2923443317413,539897,29.125,0.011697341,0.1875,0.37472448
3321,16.764834143318442,0.0022831066,0.0022831066,0.9090909090909091,0.0,0.11745454545454544,1877.0895669460297,549901,29.363636363636363,0.0076256865,0.09090909090909091,0.4470328
3364,18.25105925910173,0.0011979187,0.0011979187,0.9302325581395349,0.0,0.12948837209302325,1909.9091153144836,559906,32.372093023255815,0.0038844405,0.06976744186046512,0.4357183
3407,18.412323828200147,0.0014919327,0.0014919327,0.9302325581395349,0.0,0.13153488372093022,1940.7779426574707,569911,32.883720930232556,0.006252231,0.06976744186046512,0.47852787
3458,15.528649479574774,0.0020006706,0.0020006706,0.7647058823529411,0.0,0.11652190393396797,1974.9984712600708,579949,27.352941176470587,0.0075914133,0.23529411764705882,0.4149816
3503,18.58637534974852,0.0032552306,0.0032552306,0.8888888888888888,0.0,0.13475795795795797,2006.340062379837,589992,33.17777777777778,0.009341018,0.1111111111111111,0.3368826
3551,16.912576953805065,0.0025952368,0.0025952368,0.7916666666666666,0.0,0.12707529611380594,2037.9913079738617,599878,29.75,0.007988455,0.20833333333333334,0.32100978
3595,18.859271436689866,0.0024021605,0.0024021605,0.9090909090909091,0.0,0.13302870813397127,2070.3469247817993,609902,32.70454545454545,0.006268654,0.09090909090909091,0.3252764
3642,16.85712575881634,0.0028591615,0.0028591615,0.851063829787234,0.0,0.11838297872340424,2102.6261069774628,619909,29.595744680851062,0.0062079392,0.14893617021276595,0.36196816
3685,18.321815361703738,0.002180884,0.002180884,0.9302325581395349,0.0,0.13051162790697676,2136.062000989914,629912,32.627906976744185,0.008610386,0.06976744186046512,0.3095601
3730,18.359393492043132,0.002054721,0.002054721,0.8888888888888888,0.0,0.12933333333333333,2166.669848918915,639951,32.333333333333336,0.006699489,0.1111111111111111,0.3298836
3780,18.30054500831522,0.0024852294,0.0024852294,0.7,0.0,0.14336403399412448,2198.232465982437,649854,31.14,0.0046262266,0.3,0.31731114
3827,17.397796714300107,0.0036819016,0.0036819016,0.8085106382978723,0.0,0.13065059842652085,2230.886457681656,659781,30.361702127659573,0.006744287,0.19148936170212766,0.34533697
3879,16.80485524928899,0.002787146,0.002787146,0.75,0.0,0.12182898584019626,2261.655778646469,669816,28.846153846153847,0.0064098504,0.25,0.34477255
3924,18.609176306098067,0.0021874604,0.0021874604,0.8888888888888888,0.0,0.1303111111111111,2296.1075143814087,679821,32.577777777777776,0.0061918288,0.1111111111111111,0.37286374
3976,16.91227476330619,0.0026256363,0.0026256363,0.75,0.0,0.12164400647895793,2326.8858439922333,689762,29.46153846153846,0.008619462,0.25,0.31466275
4023,17.40558168423694,0.0026131591,0.0026131591,0.851063829787234,0.0,0.12263829787234043,2358.9163336753845,699779,30.659574468085108,0.0063078944,0.14893617021276595,0.27911803
4068,17.940032377198484,0.0019122177,0.0019122177,0.8888888888888888,0.0,0.12817777777777778,2392.4899277687073,709784,32.044444444444444,0.005318184,0.1111111111111111,0.28092965
