MpbtN,Tmt,Tbt,TtR,entropy,TimestepsSoFar,AttNC,Ptt,AttC,TimeElapsed,surrgain,meankl,Tmc,MpbtA,entloss,EpisodesSoFar,optimgain,MtR
95.05219405688595,84.32269938650306,345385.77668711654,-80.14478527607362,0.6839118,9990,0.0,82.0005851895331,1.0,2021.084682226181,0.021538727,0.009328886,19.525153374233128,4.947805943113562,0.0,815,0.021538727,-75.80854261668506
95.25231370845663,84.30842391304348,345327.3043478261,-80.30163043478261,0.6563334,19986,0.0,81.98158566582072,1.0,3876.1798124313354,0.012485247,0.009513869,19.546195652173914,4.747686291543012,0.0,1551,0.012485247,-75.48258343016039
95.45268978081734,84.37037037037037,345581.037037037,-80.52979066022544,0.6111615,29997,0.0,82.03606979508135,1.0,5491.918662548065,0.018884199,0.00982195,19.48792270531401,4.547310219182451,0.0,2172,0.018884199,-74.7954214917018
95.34080056363852,84.20270270270271,344894.2702702703,-80.27220077220078,0.5504009,39995,0.0,81.86957123393057,1.0,6812.659899234772,0.022193087,0.009807235,19.66988416988417,4.659199436361274,0.0,2690,0.022193087,-73.47969887451146
95.43216118715227,84.51399491094148,346169.3231552163,-80.64631043256998,0.47920567,49978,0.0,82.19020842510999,1.0,7823.119327783585,0.021286314,0.00959778,19.318066157760814,4.567838812847675,0.0,3083,0.021286314,-71.93779806567163
94.71382161487175,84.0109090909091,344108.68363636365,-79.56727272727272,0.40624332,59973,0.0,81.71704478480262,1.0,8532.882236719131,0.021142162,0.009233992,19.829090909090908,5.286178385128313,0.0,3358,0.021142162,-67.92730795229964
93.73277564405664,83.83152173913044,343373.9130434783,-78.57608695652173,0.33833188,69987,0.0,81.52741979320751,1.0,9014.136813879013,0.021269135,0.009033433,20.03804347826087,6.267224355943372,0.0,3542,0.021269135,-62.94934097756195
91.79039568145349,83.55371900826447,342236.03305785125,-76.70247933884298,0.2919504,79928,0.0,81.23804697866156,1.0,9339.539326667786,0.01631181,0.0077290237,20.355371900826448,8.209604318546567,0.0,3663,0.01631181,-56.56406896428108
90.80332383638195,83.27906976744185,341111.06976744183,-75.63953488372093,0.23549546,89849,0.0,80.96743832127568,1.0,9576.694306850433,0.011180053,0.0073795365,20.651162790697676,9.196676163618083,0.0,3749,0.011180053,-49.769712419933555
88.57588945705118,83.61016949152543,342467.25423728814,-74.08474576271186,0.2406186,99882,0.0847457627118644,81.34032776333481,0.9152542372881356,9743.55062198639,0.0070249033,0.003972932,20.23728813559322,11.42411054294884,0.0,3808,0.0070249033,-44.583436181199914
88.03558545114471,83.26923076923077,341070.76923076925,-73.32692307692308,0.21301484,109722,0.057692307692307696,80.96366941244376,0.9423076923076923,9901.980969905853,0.006967853,0.0046253926,20.653846153846153,11.96441454885528,0.0,3860,0.006967853,-42.72364330456802
87.15549913262375,83.5609756097561,342265.756097561,-72.82926829268293,0.24124642,119803,0.4634146341463415,81.2336484445495,0.5365853658536586,10021.747161865234,0.0073198606,0.0020678004,20.365853658536587,12.844500867376263,0.0,3901,0.0073198606,-40.54850869905112
86.51308013418891,83.19047619047619,340748.1904761905,-71.95238095238095,0.2335697,129939,0.19047619047619047,80.92375938600142,0.8095238095238095,10147.241723537445,0.0059047113,0.0026711598,20.69047619047619,13.486919865811068,0.0,3943,0.0059047113,-39.98160682011724
87.58650951028683,82.97560975609755,339868.0975609756,-72.70731707317073,0.20833755,139904,0.5365853658536586,80.69030203207033,0.4634146341463415,10273.290699243546,0.0065943724,0.002525615,20.951219512195124,12.41349048971318,0.0,3984,0.0065943724,-41.33060922651655
86.86676912053773,83.74358974358974,343013.74358974356,-72.76923076923077,0.2268242,149954,0.6410256410256411,81.46576859072866,0.358974358974359,10391.581357479095,0.005550198,0.002519277,20.102564102564102,13.133230879462275,0.0,4023,0.005550198,-40.796631228504644
