TimestepsSoFar,MtR,Tbt,MpbtA,EpisodesSoFar,MpbtN,Tmc,surrgain,meankl,AttNC,entloss,Tmt,AttC,Ptt,TtR,optimgain,TimeElapsed,entropy
9990,-76.02563484779898,345343.6970414201,4.87690040909631,845,95.12309959090337,19.533727810650888,0.025912846,0.009455353,0.0,0.0,84.31242603550295,1.0,81.99194692024501,-80.19408284023669,0.025912846,2177.310477256775,0.68376195
19986,-75.4705481618639,345355.98898071627,4.693286288513327,1571,95.30671371148648,19.519283746556475,0.0132296095,0.009906302,0.0,0.0,84.31542699724518,1.0,82.00406205333097,-80.35261707988981,0.0132296095,4059.6708450317383,0.6551417
29996,-74.81859591441322,344700.4553846154,4.5930312088951215,2221,95.40696879110463,19.72769230769231,0.016763037,0.010363707,0.0,0.0,84.15538461538462,1.0,81.81701359035729,-80.28615384615385,0.016763037,5668.4683310985565,0.60750294
39980,-73.82253007205632,345502.2900763359,4.510629487336015,2745,95.48937051266378,19.498091603053435,0.019965816,0.010436335,0.0,0.0,84.35114503816794,1.0,82.02551558056449,-80.54198473282443,0.019965816,6953.885739803314,0.54273456
49991,-70.69672828948454,344662.2921348315,4.79406898089731,3101,95.20593101910278,19.735955056179776,0.021084022,0.0100218905,0.0,0.0,84.14606741573034,1.0,81.80900426696206,-80.10393258426966,0.021084022,7854.3054366111755,0.46677983
59987,-67.61818730835243,344221.53846153844,5.423814703546735,3361,94.57618529645329,19.85,0.021007044,0.0096723735,0.0038461538461538464,0.0,84.03846153846153,0.9961538461538462,81.70488933580312,-79.47692307692307,0.021007044,8507.6186709404,0.38800493
69968,-59.73903264259467,343883.29411764705,7.597639563665282,3497,92.4023604363347,19.948529411764707,0.017311258,0.009165321,0.022058823529411766,0.0,83.95588235294117,0.9779411764705882,81.61598683258187,-77.59558823529412,0.017311258,8854.066959381104,0.3060938
79954,-48.69441800014215,340148.70588235295,10.497745889114366,3565,89.50225411088566,20.897058823529413,0.009421679,0.00824272,0.22058823529411764,0.0,83.04411764705883,0.7794117647058824,80.74156567666057,-74.32352941176471,0.009421679,9033.254092216492,0.22892986
89959,-41.913298247475396,342016.0,11.674290791982827,3605,88.32570920801716,20.5,0.0022661488,0.0021011597,0.8,0.0,83.5,0.2,81.12053304803962,-73.75,0.0022661488,9149.709597110748,0.22273447
99947,-39.45361689848427,340423.1111111111,13.023598109461094,3641,86.97640189053894,20.75,0.0069712587,0.0074914666,0.8333333333333334,0.0,83.11111111111111,0.16666666666666666,80.86686507191314,-72.33333333333333,0.0069712587,9259.096395015717,0.29039258
109973,-44.254658337429454,339813.43396226416,12.603048031090266,3694,87.39695196890973,20.9811320754717,0.006330795,0.0066825408,0.2830188679245283,0.0,82.9622641509434,0.7169811320754716,80.66453968990987,-72.50943396226415,0.006330795,9406.014481544495,0.21301323
119917,-38.77642479919416,337596.63157894736,14.744137049875935,3732,85.25586295012408,21.473684210526315,0.0032230653,0.0033068473,0.6052631578947368,0.0,82.42105263157895,0.39473684210526316,80.19662907181062,-70.34210526315789,0.0032230653,9521.396798849106,0.22396274
129779,-39.315820630813995,341333.3333333333,13.510821184477587,3768,86.48917881552241,20.52777777777778,0.005988074,0.009498878,0.9166666666666666,0.0,83.33333333333333,0.08333333333333333,81.07253045785441,-72.11111111111111,0.005988074,9625.917978286743,0.30965775
139892,-40.844323401492986,337237.3333333333,15.454841605629115,3813,84.54515839437086,21.666666666666668,0.008021344,0.008491337,0.4666666666666667,0.0,82.33333333333333,0.5333333333333333,80.03588178282884,-69.64444444444445,0.008021344,9757.70329618454,0.22080673
149857,-39.25924583678198,340081.77777777775,14.032383126010295,3849,85.9676168739897,20.944444444444443,0.0065760957,0.006838808,0.8888888888888888,0.0,83.02777777777777,0.1111111111111111,80.7034243914648,-71.38888888888889,0.0065760957,9865.239473104477,0.30048624
159931,-41.87695082569819,343587.72093023255,15.139861144768181,3892,84.8601388552318,19.976744186046513,0.0059442734,0.005250309,0.6744186046511628,0.0,83.88372093023256,0.32558139534883723,81.58731759035938,-71.20930232558139,0.0059442734,9982.41459441185,0.2767701
169992,-40.028705114261435,341968.37209302327,15.338450308811439,3935,84.66154969118854,20.441860465116278,0.003206221,0.003003843,0.3953488372093023,0.0,83.48837209302326,0.6046511627906976,81.1624568128143,-70.69767441860465,0.003206221,10104.769924402237,0.2580663
179880,-39.8711806420912,341766.243902439,14.415526338284014,3976,85.58447366171599,20.48780487804878,0.003282695,0.0019470303,0.5609756097560976,0.0,83.4390243902439,0.43902439024390244,81.12099071025679,-71.4390243902439,0.003282695,10220.02648806572,0.24932241
189918,-38.195780574649554,336868.3243243243,15.505733527233529,4013,84.49426647276647,21.64864864864865,0.0033231564,0.0029628482,0.7837837837837838,0.0,82.24324324324324,0.21621621621621623,80.035410457846,-69.51351351351352,0.0033231564,10328.306975841522,0.2853558
199847,-42.47692026677533,341333.3333333333,14.552150465354359,4058,85.44784953464563,20.622222222222224,0.007209391,0.006917295,0.5333333333333333,0.0,83.33333333333333,0.4666666666666667,81.00080889656488,-71.2,0.007209391,10453.340168952942,0.20829616
