Tmc,entloss,surrgain,Ptt,AttC,EpisodesSoFar,TimestepsSoFar,TimeElapsed,meankl,AttNC,MtR,TtR,optimgain,MpbtA,MpbtN,entropy,Tbt,Tmt
29.503521126760564,0.0,0.002541073,72.73582565211647,10.0,568,9998,1430.683631658554,0.008431718,0.0,-66.87032287144352,-726.3908450704225,0.002541073,2.5403940267000142,97.45960597329992,0.68478096,305325.07042253524,74.54225352112677
30.674897119341562,0.0,0.0020903926,71.65391624584517,10.0,1054,19984,2638.416969537735,0.009256618,0.0,-64.49592052175194,-710.843621399177,0.0020903926,3.1728832310749246,96.82711676892502,0.6586925,300735.7366255144,73.42181069958848
31.465,0.0,0.0044746622,70.93188635641702,10.0,1454,29984,3645.244804382324,0.0097272135,0.0,-61.480485391019805,-692.475,0.0044746622,4.7284623309176546,95.27153766908233,0.6144171,297738.24,72.69
32.23225806451613,0.0,0.004480138,70.23256310602191,10.0,1764,39994,4413.117708683014,0.008517873,0.0,-56.87559799441948,-662.9677419354839,0.004480138,7.8796749643473385,92.12032503565263,0.56164247,294859.14838709676,71.98709677419355
33.18716577540107,0.0,0.0048072254,69.38027022542924,10.0,1951,49946,4913.275527477264,0.009244693,0.0,-47.50597523210993,-605.7754010695187,0.0048072254,14.842875124726984,85.157124875273,0.50496656,291495.0160427808,71.16577540106952
37.19117647058823,0.0,0.0020799835,65.77284447091746,9.455882352941176,2019,59902,5176.756153106689,0.007229221,0.5441176470588235,-23.545668573423836,-377.6470588235294,0.0020799835,44.40946596017273,55.59053403982728,0.43240952,276961.8823529412,67.61764705882354
42.067796610169495,0.0,0.0010677858,61.243914428084445,6.338983050847458,2078,69968,5439.376934051514,0.0043370095,3.6610169491525424,-13.228511272271438,-195.76271186440678,0.0010677858,68.9956607372523,31.004339262747713,0.30722392,257631.45762711865,62.898305084745765
42.93103448275862,0.0,0.0022534695,60.43997406916044,3.7241379310344827,2136,79861,5713.028173685074,0.0055374713,6.275862068965517,-14.615889727662083,-202.41379310344828,0.0022534695,67.33944592793108,32.66055407206894,0.3226923,254163.8620689655,62.05172413793103
42.8,0.0,0.0013498489,60.569413805816225,6.85,2196,89844,5982.6109499931335,0.006830078,3.15,-13.557557287511939,-200.5,0.0013498489,67.80857618207736,32.19142381792264,0.29566443,254771.2,62.2
42.06896551724138,0.0,0.0015961468,61.249546898111845,4.344827586206897,2254,99945,6268.884353876114,0.0045297663,5.655172413793103,-12.653304798434464,-185.51724137931035,0.0015961468,70.5768707004327,29.423129299567286,0.3580168,257694.89655172414,62.91379310344828
41.824561403508774,0.0,0.0016416424,61.48762076722919,7.2631578947368425,2311,109928,6537.734423398972,0.0059808716,2.736842105263158,-13.076460343150444,-204.91228070175438,0.0016416424,67.75920218949759,32.24079781050239,0.34380788,258766.59649122806,63.175438596491226
43.90163934426229,0.0,0.002241006,59.53378059155768,6.032786885245901,2372,119925,6817.38251209259,0.0051208343,3.9672131147540983,-13.317331054860443,-182.95081967213116,0.002241006,70.10772209316575,29.89227790683426,0.36355036,250258.88524590165,61.09836065573771
41.76190476190476,0.0,0.0020256685,61.52366308981697,9.11111111111111,2435,129868,7089.022608757019,0.005972945,0.8888888888888888,-14.079913879669531,-218.88888888888889,0.0020256685,65.65509365404428,34.34490634595571,0.34069368,258763.17460317462,63.17460317460318
